Title,Publisher,"Field of Research",Rating,ISSN,"ISSN Online",Website
"International Journal of Accounting and Finance","Inderscience Enterprises Ltd.",3501,C,1752-8224,1752-8232,http://www.inderscience.com/jhome.php?jcode=ijaf
"International Journal of Accounting and Information Management","Emerald Group Publishing Ltd",3501,B,1834-7649,1758-9037,
"International Journal of Accounting Information Systems",Elsevier,3501,A,1467-0895,1873-4723,
"International Journal of Accounting, Auditing and Performance Evaluation","Inderscience Enterprises Ltd.",3501,C,1740-8008,1740-8016,http://www.inderscience.com/jhome.php?jcode=ijaape#board
"International Journal of Advertising","Taylor & Francis Online",3506,A,0265-0487,1759-3948,
"International Journal of Agricultural Resources, Governance and Ecology","Inderscience Enterprises Ltd",3599,C,1462-4605,1741-5004,
"International Journal of Applied Economic Sciences & Applied Research","Eastern Macedonia and Thrace Institute of Tech",3801,C,1791-5120,1791-3373,
"International Journal of Applied Economics","Institute of International Economic Studies",3801,C,,1548-0003,
"International Journal of Applied Economics and Econometrics","Springer Nature",3802,C,1530-7247,,
"International Journal of Applied Management and Technology","Walden University School of Management",3507,C,1544-4740,,
"International Journal of Arts Management","Management International",3504,B,1480-8986,1480-8986,
"International Journal of Asian Studies","Cambridge University Press",3503,B,1479-5914,1479-5922,http://journals.cambridge.org/
"International Journal of Auditing","Wiley-Blackwell Publishing",3501,A,1090-6738,1099-1123,
"International Journal of Automation Technology","Fuji Technology Press",3509,C,1881-7629,1883-8022,http://www.fujipress.jp/IJAT/index.html
"International Journal of Automotive Technology","Springer International Publishing",3509,B,1229-9138,1976-3832,http://www.springerlink.com/
"International Journal of Bank Marketing","Emerald Group Publishing",3506,A,0265-2323,1758-5937,
"International Journal of Banking, Accounting and Finance","Inderscience Publishers",3502,C,1755-3830,1755-3849,http://www.inderscience.com/jhome.php?jcode=ijbaaf
"International Journal of Behavioural Accounting and Finance","Inderscience Publishers",3501,C,1753-1969,1753-1977,http://www.inderscience.com/jhome.php?jcode=ijbaf
"International Journal of Bonds and Derivatives","Inderscience Enterprises Ltd",3502,C,2050-2281,2050-229X,
"International Journal of Business","Premier Publishing",3507,C,1083-4346,1083-4346,http://www.craig.csufresno.edu/ijb/
"International Journal of Business and Economics","Feng Chia University",3801,B,1607-0704,,
"International Journal of Business and Information","Academy of Taiwan Information Systems Research",3501,C,1728-8673,2520-0151,
"International Journal of Business and Society","Universiti Malaysia Sarawak",3501,C,1511-6670,,
"International Journal of Business Communication","Sage Publications",3507,C,2329-4884,2329-4892,
"International Journal of Business Information Systems","Inderscience Enterprises Ltd.",4609,C,1746-0972,1746-0980,http://www.inderscience.com/
"International Journal of Business Intelligence Research (IJBIR)","IGI Global",4609,C,1947-3591,,http://www.igi-global.com/journal/international-journal-business-intelligence-research/1168
"International Journal of Business Law","The University of Pennsylvania",4801,C,2329-261X,,https://www.law.upenn.edu/journals/jbl/
"International Journal of Cases on Electronic Commerce","IGI Global",4609,C,1548-0623,1548-0615,http://www.igi-pub.com/
"International Journal of Central Banking","Association of the International Journal of Central Banking",3801,A,1815-4654,,
"International Journal of Computational Economics and Econometrics","Inderscience Enterprises Ltd.",3802,C,1757-1170,1757-1189,www.inderscience.com/jhome.php?jcode=IJCEE
"International Journal of Computer Integrated Manufacturing","Taylor & Francis Online",3503,B,0951-192X,1362-3052,http://www.tandfonline.com/tcim
"International Journal of Conflict Management","Emerald Group Publishing",3505,A,1044-4068,1758-8545,http://www.emeraldinsight.com/journal/ijcma
"International Journal of Consumer Studies","Wiley-Blackwell Publishing",3506,A,1470-6423,1470-6431,
"International Journal of Contemporary Hospitality Management","Emerald Group Publishing",3504,A,0959-6119,1757-1049,
"International Journal of Cooperative Information Systems","World Scientific Publishing",4609,A,0218-8430,1793-6365,http://www.worldscientific.com/worldscinet/ijcis
"International Journal of Corporate Governance","Inderscience Enterprises Ltd.",4801,B,1754-3037,1754-3045,http://www.inderscience.com/
"International Journal of Critical Accounting","Inderscience Enterprises Ltd.",3501,C,1757-9848,1757-9856,http://www.inderscience.com/jhome.php?jcode=ijca
"International Journal of Cross Cultural Management","Sage Publications",3505,B,1470-5958,1741-2838,http://ccm.sagepub.com/
"International Journal of Cultural Policy","Taylor & Francis Online",3504,A,1028-6632,1477-2833,
"International Journal of Data Warehousing and Mining","IGI Global",4609,C,1548-3924,1548-3932,http://www.igi-pub.com/
"International Journal of Development and Conflict","Gokhale Institute of Politics and Economics",3801,B,2010-2704,,
"International Journal of Development Issues","Emerald Group Publishing",3801,C,1446-8956,1758-8553,
"International Journal of Disaster Risk Reduction",Elsevier,3599,A,2212-4209,,
"International Journal of Disclosure and Governance","Palgrave Macmillan",3501,B,1741-3591,1746-6539,
"International Journal of Economic Perspectives","International Economic Society",3801,C,,1307-1637,http://www.econ-society.org/ijep_home.php
"International Journal of Economic Policy and Emerging Economies","Inderscience Enterprises Ltd.",3801,C,1752-0452,1752-0460,http://www.inderscience.com/
"International Journal of Economic Practices and Theories","Open Journal Systems",3801,C,,2247-7225,
"International Journal of Economic Theory","Wiley-Blackwell Publishing",3803,B,1742-7355,1742-7363,https://authorservices.wiley.com/bauthor/Aims_scope.asp?ref=1742-7355&site=1
"International Journal of Economics and Accounting","Inderscience Enterprises Ltd",3501,C,2041-868X,2041-8698,
"International Journal of Economics and Business Research","Inderscience Enterprises Ltd.",3801,C,1756-9850,1756-9869,http://www.inderscience.com/jhome.php?jcode=ijebr
"International Journal of Economics and Financial Issues","Econ Journals",3899,C,2146-4138,,http://www.econjournals.com/index.php/ijefi
"International Journal of Education and Development using Information and Communication Technology","University of the West Indies",4609,C,,1814-0556,
"International Journal of Educational Management","Emerald Group Publishing",3507,B,0951-354X,1758-6518,http://www.emeraldinsight.com/journal/ijem
"International Journal of Electronic Banking","Inderscience Enterprises Ltd.",3502,C,1753-5239,1753-5247,http://www.inderscience.com/
"International Journal of Electronic Commerce","Taylor & Francis Online",4609,A,1086-4415,1557-9301,http://www.tandfonline.com/toc/mjec20/current#.V33g0KKMz3U
"International Journal of Electronic Customer Relationship Management","Inderscience Enterprises Ltd.",3506,C,1750-0664,1750-0672,http://www.inderscience.com/
"International Journal of Electronic Finance","Inderscience Enterprises Ltd.",3502,C,1746-0069,1746-0077,http://www.inderscience.com/
"International Journal of Electronic Government Research","IGI Global",4609,C,1548-3886,1548-3894,http://www.igi-global.com/journal/international-journal-electronic-government-research/1091
"International Journal of Electronic Marketing and Retailing","Inderscience Enterprises Ltd.",3506,C,1741-1025,1741-1033,http://www.inderscience.com/
"International Journal of Emergency Services","Emerald Group Publishing Ltd",3507,C,2047-0908,2047-0894,
"International Journal of Emerging Markets","Emerald Group Publishing",3506,B,1746-8809,1746-8817,
"International Journal of Employment Studies","International Employment Relations Association",3505,C,1039-6993,,
"International Journal of Energy Economics and Policy","Econ Journals",3899,C,2146-4553,,http://www.econjournals.com/index.php/ijeep
"International Journal of Energy Sector Management","Emerald Publishing",3599,C,1750-6220,1750-6239,
"International Journal of Enterprise Information Systems","IGI Global",4609,C,1548-1115,1548-1123,http://www.igi-global.com/journal/international-journal-enterprise-information-systems/1086
"International Journal of Enterprise Network Management","Inderscience Enterprises Ltd.",3506,B,1748-1260,1748-1252,
"International Journal of Entrepreneurial Behaviour and Research","Emerald Group Publishing",3507,B,1355-2554,1758-6534,http://www.emeraldinsight.com/journal/ijebr
"International Journal of Entrepreneurship and Innovation","Ip Publishing Ltd.",3507,C,1465-7503,2043-6882,http://www.ippublishing.com/ei.htm
"International Journal of Environment and Pollution","Inderscience Enterprises Ltd.",3599,C,0957-4352,1741-5101,http://www.inderscience.com/
"International Journal of Ethics and Systems","Emerald Publishing",3507,C,2514-9396,,https://www.emeraldinsight.com/journal/ijoes
"International Journal of Event and Festival Management","Emerald Group Publishing Limited",3508,B,1758-2954,1758-2962,http://www.emeraldinsight.com/journal/ijefm
"International Journal of Event Management Research","Griffith University",3508,B,1833-0681,,http://www.ijemr.org/
"International Journal of Finance","Utex Corporation",3502,C,1041-2743,,
"International Journal of Finance & Economics","Wiley-Blackwell Publishing",3502,B,1076-9307,1099-1158,
"International Journal of Financial Engineering","World Scientific",3502,C,2424-7863,2424-7944,http://www.worldscientific.com/worldscinet/ijfe
"International Journal of Financial Markets and Derivatives","Inderscience Enterprises Ltd",3502,C,1756-7130,1756-7149,
"International Journal of Financial Services Management","Inderscience Enterprises Ltd.",3502,C,1460-6712,1741-8062,http://www.inderscience.com/
"International Journal of Financial Studies",MDPI,3502,B,2227-7072,2227-7072,
"International Journal of Forecasting",Elsevier,3802,A,0169-2070,1872-8200,http://www.journals.elsevier.com/international-journal-of-forecasting
"International Journal of Game Theory","Springer International Publishing",3803,A,0020-7276,1432-1270,http://www.springerlink.com/
"International Journal of Gender and Entrepreneurship","Emerald Group Publishing",3507,C,1756-6266,1756-6274,http://www.emeraldinsight.com/
"International Journal of General Systems","Taylor & Francis Online",3503,A,0308-1079,1563-5104,http://www.tandfonline.com/ggen
"International Journal of Global Business and Competitiveness","Indian Institute of Finance",3507,C,0973-4619,0976-1888,
"International Journal of Global Energy Issues","Inderscience Enterprises Ltd.",3899,C,0954-7118,1741-5128,http://www.inderscience.com/
"International Journal of Government Auditing","International Journal of Government Auditing",3501,C,0047-0724,,
"International Journal of Green Economics","Inderscience Enterprises Ltd.",3899,C,1744-9928,1744-9936,http://www.inderscience.com/
"International Journal of Health Care Quality Assurance","Emerald Group Publishing Limited",3503,C,0952-6862,1758-6542,
"International Journal of Health Finance and Economics","Springer International Publishing",3801,B,1389-6563,1573-6962,
"International Journal of Healthcare Information Systems and Informatics","IGI Global",4609,C,1555-3396,1555-340X,http://www.igi-pub.com/
"International Journal of Healthcare Management","Taylor and Francis",3506,C,2047-9700,2047-9719,
"International Journal of Heritage Studies","Taylor & Francis Online",3508,B,1352-7258,1470-3610,http://www.tandfonline.com/rjhs
"International Journal of Home Economics","International Federation of Home Economics",3899,C,1999-561X,,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=1999-561X
"International Journal of Hospitality and Tourism Administration","Taylor & Francis Online",3508,B,1525-6480,1525-6499,
"International Journal of Hospitality Management",Elsevier,3504,A*,0278-4319,1873-4693,http://www.journals.elsevier.com/international-journal-of-hospitality-management
"International Journal of Housing Markets and Analysis","Emerald Group Publishing",3504,B,1753-8270,1753-8289,http://www.emeraldinsight.com/journal/ijhma
"International Journal of Housing Policy","Taylor & Francis Online",3503,B,1461-6718,1473-3269,
"International Journal of Human Resource Management","Taylor & Francis Online",3505,A,0958-5192,1466-4399,http://www.tandfonline.com/rijh
"International Journal of Human-Computer Interaction","Taylor & Francis Online",4609,B,1044-7318,1532-7590,http://www.tandfonline.com/hihc
"International Journal of Human-Computer Studies",Elsevier,4609,B,1071-5819,1095-9300,
"International Journal of Industrial Organization",Elsevier,3801,A,0167-7187,1873-7986,
"International Journal of Information and Communication Technology Education","IGI Global",4609,C,1550-1876,1550-1337,
"International Journal of Information and Learning Technology","Emerald Group Publishing",4609,C,2056-4880,2056-4899,
"International Journal of Information Management",Elsevier,4609,A*,0268-4012,1873-4707,
"International Journal of Information Security","Springer International Publishing",4609,B,1615-5262,1615-5270,http://www.springerlink.com/
"International Journal of Information Security and Privacy","IGI Global",4609,C,1930-1650,1930-1669,http://journals.igi-online.com/
"International Journal of Information Systems and Change Management","Inderscience Enterprises Ltd.",4609,C,1479-3121,1479-313X,http://www.inderscience.com/jhome.php?jcode=ijiscm
"International Journal of Information Systems and Supply Chain Management","IGI Global",4609,C,1935-5726,1935-5734,http://www.igi-global.com/
"International Journal of Information Technology and Decision Making","World Scientific Publishing",4609,C,0219-6220,1793-6845,
"International Journal of Information Technology and Web Engineering","IGI Global",4609,C,1554-1045,1554-1053,
